 dataset_id,id,areas,bathymetry,class,Latitude,Longitude,family,infraphylum,order,parvphylum,phylum,scientificName,shoredistance,subphylum,originalScientificName
c24bf1c2-2c62-4056-a841-56d94e6e876a,c6831355-648b-47e5-8c83-18d5311942fa,"[248, 252, 31904]",-2,Teleostei,-5.332220078,72.22332764,Grammistidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Pseudogramma polyacantha,226,Vertebrata,Pseudogramma polyacantha
c24bf1c2-2c62-4056-a841-56d94e6e876a,f563227c-75ca-4455-95f0-0d3389f113cb,"[248, 252, 31904]",14,Teleostei,-5.429722309,71.7611084,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Zebrasoma scopas,951,Vertebrata,Zebrasoma scopas
c24bf1c2-2c62-4056-a841-56d94e6e876a,6455e4f6-70eb-4e2c-8c94-17a96fac464e,"[218, 219, 10161, 20914, 40030, 31904]",9,Teleostei,-27.53333092,32.68333054,Pomacanthidae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Centropyge multispinis,799,Vertebrata,Centropyge multispinis
c24bf1c2-2c62-4056-a841-56d94e6e876a,4563d204-1015-4f0d-b1f2-fd8c1dbd3509,"[248, 252, 31904]",16,Teleostei,-6.179166794,71.35888672,Moringuidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Moringua microchir,2034,Vertebrata,Moringua microchir
c24bf1c2-2c62-4056-a841-56d94e6e876a,159b9733-22e9-4f40-a626-6f16f8aabab3,"[248, 252, 31904]",2,Teleostei,-5.356666565,72.21694183,Pomacentridae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Plectroglyphidodon johnstonianus,495,Vertebrata,Plectroglyphidodon johnstonianus
c24bf1c2-2c62-4056-a841-56d94e6e876a,8b04335c-08f8-4c65-82ec-c5e5e475093b,"[248, 252, 31904]",15,Teleostei,-5.354444504,72.21583557,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Pleurosicya plicata,727,Vertebrata,Pleurosicya plicata
c24bf1c2-2c62-4056-a841-56d94e6e876a,adba7b28-c511-46b8-be0f-c58563dfa43b,"[248, 252, 31904]",2,Teleostei,-5.44444418,71.8172226,Muraenidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Anarchias seychellensis,2008,Vertebrata,Anarchias seychellensis
c24bf1c2-2c62-4056-a841-56d94e6e876a,257b819f-8df4-4304-ba1a-23501eda1d3c,"[248, 252, 31904]",15,Teleostei,-5.355000019,72.21611023,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Bryaninops erythrops,666,Vertebrata,Bryaninops erythrops
c24bf1c2-2c62-4056-a841-56d94e6e876a,cf290514-01f8-4526-80f2-78179737a84d,"[248, 252, 31904]",15,Teleostei,-5.355000019,72.21611023,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Cheilodipterus lachneri,666,Vertebrata,Cheilodipterus lachneri
c24bf1c2-2c62-4056-a841-56d94e6e876a,336c808a-1023-438a-bcc0-f1c15bded533,"[248, 252, 31904]",4,Teleostei,-5.384444237,71.75027466,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Fowleria aurita,1223,Vertebrata,Fowleria aurita
